Genotype,Subpopulation
6M502,Non-stiff stalk
A632,Stiff Stalk
B104,Mixed
B73,Stiff Stalk
B97,Non-stiff stalk
CML103,Tropical/Subtropical
CML228,Tropical/Subtropical
CML247,Tropical/Subtropical
CML277,Tropical/Subtropical
CML322,Tropical/Subtropical
CML333,Tropical/Subtropical
CML52,Tropical/Subtropical
CML69,Tropical/Subtropical
F118,NA
GT112,Non-stiff stalk
Hickory King,Mixed
Hp301,Popcorn
Ki11,Tropical/Subtropical
Ki3,Tropical/Subtropical
Ky21,Non-stiff stalk
L163,NA
LH211,NA
LH252,NA
M162W,Non-stiff stalk
M37W,Mixed
Mo17,Non-stiff stalk
Mo18W,Mixed
Ms71,Non-stiff stalk
NC262,Non-stiff stalk
NC350,Tropical/Subtropical
Oh43,Non-stiff stalk
PHB47,NA
PHHB4,NA
PHK46,NA
PHR58,Non-stiff stalk
PHT60,Non-stiff stalk
R78,NA
R84,NA
SA24,Popcorn
Shoe Peg,Sweet
Tx303,Mixed
Tzi8,Tropical/Subtropical
W64A,Non-stiff stalk