"Genotype","Year","Plot","Plant","TestingDate","Median.Number.of.Roots","Maximum.Number.of.Roots","Number.of.Root.Tips","Width:Depth","Solidity","ShallowAngleFrequency","MediumAngleFrequency","SteepAngleFrequency","TotalRL_cm","Depth_cm","MaxWidth_cm","AverageDiameter_cm","MedianDiameter_cm","MaxDiameter_cm","Perimeter_cm","NetworkArea_cm2","ConvexArea_cm2","LowerRootArea_cm2","SurfaceArea_cm2","Volume_cm3","Average.Root.Orientation.deg"
"6M502","2017","302","1","29DEC2017",28,53,222,1.036,0.423,0.318,0.33,0.352,1347.34957086957,18.0119130434783,18.6634782608696,0.128689652173913,0.0987728695652174,0.742464086956522,1513.91363791304,96.463859758034,227.975274275992,93.1950084385633,537.00152127501,26.1901077686814,45.996
"6M502","2017","302","2","05FEB2018",15,36,148,0.675,0.447,0.3,0.327,0.372,1321.94739530435,26.3386956521739,17.7689565217391,0.224712695652174,0.160793043478261,2.25286956521739,1189.97140278261,144.519132877127,323.10106731569,136.429021610586,930.462371402775,100.920610103431,47.078
"6M502","2017","360","2","03JAN2018",18,48,162,1.159,0.373,0.321,0.336,0.344,1127.88618278261,18.5751304347826,21.5347826086957,0.156000173913043,0.128789043478261,0.978076695652174,1131.32054991304,92.5620442797731,247.832603913043,88.8512156748582,546.330482676809,32.7738257006234,45.533
"6M502","2017","360","1","03JAN2018",16,52,206,0.678,0.422,0.322,0.321,0.357,1476.82901947826,27.1890434782609,18.4426086956522,0.181190347826087,0.134354956521739,1.47123426086957,1423.99151982609,137.469326865784,325.492976672968,91.5058844310019,834.709845059561,66.1010497042742,46.001
"A632","2017","375","2","14FEB2018",5,30,99,0.706,0.466,0.311,0.363,0.326,643.457846608696,23.4784347826087,16.5873043478261,0.327902956521739,0.24295652173913,1.83161608695652,556.675687565217,99.6497793572779,213.799682162571,57.5996164914934,661.467022816098,94.1706566196943,45.264
"A632","2017","310","2","23FEB2018",6,38,144,0.827,0.339,0.321,0.362,0.317,847.158292869565,26.8466956521739,22.2084347826087,0.306136260869565,0.203630695652174,1.71113173913043,800.833121304348,124.462096340265,367.600216075614,112.032094979206,818.308519852643,119.891311450403,44.8
"A632","2017","310","1","10JAN2018",8,38,108,0.793,0.363,0.316,0.387,0.297,1140.08455486957,29.718,23.5667826086957,0.330211043478261,0.225242782608696,2.32753452173913,971.670926086957,166.276391637051,458.313553765595,83.4584586086957,1197.01871614743,204.106457385179,44.111
"B104","2017","307","1","08FEB2018",22,52,167,0.774,0.468,0.303,0.315,0.383,2147.55774173913,28.9339130434783,22.3961739130435,0.171670869565217,0.134354956521739,1.19534608695652,1934.4766006087,188.292446147448,402.263053024575,183.261295773157,1154.75429149905,80.8127421543275,47.509
"B104","2017","349","1","29DEC2017",19,49,193,0.787,0.542,0.314,0.327,0.359,2025.31994356522,26.0184347826087,20.4635652173913,0.204569391304348,0.159269043478261,1.47388469565217,1655.40147765217,198.275839803403,365.720532049149,88.2985001512287,1299.62281815267,109.062392073175,46.298
"B104","2017","307","2","15MAR2018",17,48,191,0.741,0.567,0.307,0.344,0.349,2041.739884,29.9830434782609,22.2305217391304,0.241918434782609,0.182129043478261,1.7008392173913,1635.95029017391,229.002286064272,403.798631391304,218.837174374291,1549.32175896355,159.406833666361,46.301
"B104","2017","349","2","18JAN2018",17,40,137,0.858,0.543,0.346,0.337,0.317,1667.28416086957,21.9433913043478,18.8180869565217,0.23114,0.178076086956522,1.91227765217391,1222.63202591304,174.393943546314,321.181197992439,168.186870162571,1210.08296332823,119.358685283032,43.947
"B73","2017","285","2","12FEB2018",14,39,180,0.576,0.441,0.292,0.322,0.386,1514.77975582609,33.108347826087,19.0610434782609,0.211504695652174,0.139688956521739,2.12034782608696,1358.87276678261,156.380198245747,354.701040703214,148.313990827977,1007.30593647868,114.526866058926,48.1
"B73","2017","285","1","01FEB2018",6,30,55,0.377,0.484,0.252,0.293,0.455,705.459655217391,24.7815652173913,9.35382608695652,0.210312,0.156176869565217,1.58071930434783,654.495758956522,77.7692206427221,160.811557149338,67.8980287258979,463.443072258291,47.4061105895093,51.901
"B73","2017","367","2","20FEB2018",7,31,72,0.574,0.503,0.305,0.326,0.37,981.217184782609,28.6688695652174,16.4658260869565,0.270211826086957,0.203630695652174,1.65239147826087,752.111183652174,129.359946170132,257.136811172023,108.621040151229,832.517158793074,96.6663095479228,47.119
"B73","2017","367","1","14FEB2018",6,34,99,0.67,0.448,0.296,0.355,0.349,1201.82891791304,32.9758260869565,22.1090434782609,0.258075043478261,0.172499130434783,1.9175012173913,985.088840521739,151.971767523629,339.077802238185,148.505709451796,980.832107116544,129.368107132343,46.368
"B97","2017","321","2","07FEB2018",11,27,66,1.024,0.387,0.297,0.342,0.361,904.957715652174,21.3470434782609,21.8550434782609,0.221764086956522,0.187418869565217,1.7691652173913,743.340729304348,101.996259206049,263.516882563327,97.5722178071833,625.563095965641,54.7187586915505,46.791
"B97","2017","321","1","17JAN2018",16,36,109,0.66,0.392,0.275,0.343,0.382,1142.09592565217,25.7754782608696,17.0069565217391,0.214155130434783,0.159269043478261,2.06368373913043,1075.10862713043,129.178959886578,329.265089379962,125.774124937618,765.038155633172,77.0061608480325,48.556
"B97","2017","351","1","15FEB2018",8,33,57,0.654,0.409,0.312,0.319,0.369,801.749895652174,24.4281739130435,15.9688695652174,0.238660608695652,0.182129043478261,1.22517452173913,684.435434695652,96.7055813308128,236.684019587902,67.1893283931947,597.343903913376,59.0359176648902,46.906
"B97","2017","351","2","20FEB2018",19,37,134,0.869,0.461,0.291,0.341,0.369,1395.81993808696,24.0637391304348,20.9053043478261,0.239290086956522,0.182129043478261,1.94929539130435,1257.4967506087,168.961793913043,366.372094865784,163.380001308129,1041.44697911785,103.060377134228,47.436
"B97","2017","321","1","17JAN2018",16,36,108,0.661,0.393,0.275,0.343,0.382,1141.95993626087,25.7313043478261,17.0069565217391,0.213934260869565,0.159269043478261,2.06368373913043,1075.01112426087,129.087491077505,328.883359550094,125.774124937618,764.143139434306,76.8111961211078,48.548
"CML103","2017","297","1","19JAN2018",17,40,157,1.135,0.473,0.326,0.343,0.331,2021.19098582609,24.7484347826087,28.0835652173913,0.247948173913043,0.198782608695652,1.79774573913044,1430.41531234783,229.901363478261,486.516009708885,229.901363478261,1570.09244978382,156.665520695327,44.814
"CML103","2017","297","2","23FEB2018",16,48,238,1.184,0.428,0.327,0.361,0.312,1773.58035582609,24.4060869565217,28.8897391304348,0.268500086956522,0.187418869565217,1.79381426086957,1441.95554834783,212.402038759924,496.115600241966,208.170935568998,1501.08092977921,193.374257646313,44.528
"CML228","2017","304","1","08MAR2018",3,39,143,0.705,0.246,0.288,0.38,0.332,1484.17982365217,53.7375652173913,37.9012173913043,0.280658956521739,0.203630695652174,1.99248643478261,1463.00474921739,220.479710268431,897.542567372401,181.237517882798,1315.11260484484,174.303756493639,46.27
"CML247","2017","311","2","08FEB2018",10,41,148,0.826,0.398,0.289,0.33,0.382,1168.81598573913,28.9449565217391,23.9091304347826,0.288080173913043,0.178076086956522,2.34121739130435,1041.68358547826,155.782845943289,391.34881178828,149.633702805293,1065.42615647802,172.793729018733,48.009
"CML247","2017","311","1","25JAN2018",7,45,128,0.702,0.284,0.309,0.315,0.376,1393.67466513043,32.9095652173913,23.0919130434783,0.169395913043478,0.132521739130435,1.19126,1352.42457921739,125.854861406427,443.344744139887,117.877195795841,735.085271091229,52.1793967213925,46.978
"CML277","2017","288","1","16JAN2018",9,37,183,0.704,0.328,0.315,0.344,0.341,1885.74805895652,43.4560869565217,30.5793913043478,0.280117826086957,0.217534434782609,1.75170547826087,1619.86414991304,262.94514152741,801.956015451796,237.833538601134,1660.00513171796,206.895916161712,45.87
"CML277","2017","288","2","14MAR2018",4,41,104,0.646,0.309,0.314,0.335,0.351,1367.84948017391,47.498,30.6787826086957,0.373899043478261,0.269604434782609,2.23176547826087,1002.34227643478,239.586934691871,774.24230784499,104.127116582231,1604.53757999093,274.993062724048,46.275
"CML322","2017","319","1","17JAN2018",10,65,278,0.649,0.462,0.299,0.352,0.349,3144.019366,44.7702608695652,29.0664347826087,0.204392695652174,0.154608695652174,1.6601992173913,2656.86577547826,314.264265671078,679.52495352741,274.680711689981,2020.74397850518,190.125591368808,46.393
"CML322","2017","319","2","02FEB2018",7,38,109,0.577,0.618,0.31,0.347,0.343,1684.06891156522,35.2839130434783,20.3641739130435,0.411999043478261,0.307638173913043,2.38641834782609,1087.76793191304,306.45563441966,495.789422468809,138.308156824197,2180.85075018684,384.823464242782,45.902
"CML333","2017","326","1","15FEB2018",9,47,138,0.762,0.461,0.316,0.353,0.331,1593.16509452174,34.0249565217391,25.9300869565217,0.32004,0.227396260869565,2.12494191304348,1368.11153086957,249.603501035917,541.783659402646,218.533863803403,1603.34689391569,242.794370779578,45.26
"CML52","2017","333","2","02MAR2018",13,40,118,0.526,0.574,0.318,0.339,0.343,1820.4264813913,30.5131304347826,16.0461739130435,0.263000434782609,0.197556782608696,1.7454327826087,1300.47250147826,210.814871984877,367.174764155009,36.8418069187146,1504.19057292877,175.912685091872,45.717
"CML52","2017","333","1","20FEB2018",13,36,133,1.08,0.475,0.329,0.357,0.314,1598.90455582609,25.1349565217391,27.1448695652174,0.279035565217391,0.203630695652174,2.61951304347826,1145.66085982609,192.264997504726,404.840705043478,146.264479712665,1404.2562694744,187.933095541971,44.346
"CML69","2017","286","2","14MAR2018",13,43,248,0.82,0.455,0.323,0.334,0.343,1990.20502886957,33.7378260869565,27.6749565217391,0.278096869565217,0.198782608695652,2.00127704347826,1533.47720382609,256.466710676749,563.252425538752,57.3350886956522,1731.09959651697,223.802662218611,45.637
"CML69","2017","286","1","10JAN2018",17,52,244,1.19,0.316,0.337,0.339,0.324,1660.36352226087,25.2453913043478,30.0493043478261,0.176198695652174,0.139688956521739,1.40889382608696,1570.64240652174,151.337339863894,478.641155039697,149.665899826087,910.099501097437,63.9785690259322,44.512
"F118","2017","336","1","10JAN2018",14,54,236,1.049,0.311,0.331,0.327,0.342,1675.49854295652,28.1387826086957,29.5192173913043,0.171339565217391,0.128789043478261,2.05598643478261,1700.54653208696,149.917378071834,482.446928268431,144.509742079395,895.291990740567,79.1089506244742,45.201
"F118","2017","347","1","14FEB2018",8,46,175,0.642,0.396,0.327,0.307,0.366,1536.55333156522,34.6213043478261,22.2415652173913,0.257147391304348,0.178076086956522,2.71750182608696,1400.92196982609,193.529828196597,489.167324608696,177.414853413989,1236.16339875796,194.150965286722,46.136
"F118","2017","347","2","23FEB2018",15.5,47,124,1.192,0.404,0.305,0.342,0.354,1320.76395408696,21.5568695652174,25.6871304347826,0.231703217391304,0.176695652173913,1.83746913043478,1171.24082434783,152.207391175803,376.496655383743,139.87300520983,959.550664832877,96.6668904691396,46.324
"F118","2017","336","2","15FEB2018",17,53,150,0.855,0.501,0.316,0.31,0.374,1610.59749,25.654,21.9433913043478,0.206932695652174,0.156176869565217,2.1424347826087,1419.30309947826,171.402303697543,342.07078362949,161.718074026465,1044.32471590764,97.342579031938,46.842
"GT112","2017","344","1","22JAN2018",24,62,214,1.044,0.489,0.337,0.33,0.333,2345.22266208696,26.7362608695652,27.9068695652174,0.206358434782609,0.148159304347826,1.94678852173913,2113.45079843478,238.81615752741,488.184217848771,221.786738570888,1517.96711101989,142.287963281672,44.748
"Hickory King","2017","374","2","06MAR2018",13,38,227,0.701,0.434,0.297,0.365,0.338,2938.35928765217,49.7619130434783,34.8642608695652,0.459077391304348,0.287130434782609,3.66969260869565,2060.13340443478,562.30462573913,1295.98826111909,372.021208514178,4268.26312880212,1013.15045589093,46.276
"Hickory King","2017","320","2","31JAN2018",11,60,201,0.957,0.334,0.288,0.335,0.377,1675.60013191304,29.8394782608696,28.5584347826087,0.179312956521739,0.134354956521739,1.85530434782609,1641.05048869565,160.803873769376,481.466260676749,157.107314298677,936.374492879319,78.3975948835227,47.893
"Hickory King","2017","374","1","20DEC2017",15,128,466,0.783,0.459,0.329,0.339,0.333,6325.35703043478,48.2489565217391,37.8018260869565,0.173117565217391,0.118938260869565,3.07992669565217,5836.37449634783,535.554023712665,1167.44744862382,475.693786094518,3466.82452801157,392.340478791121,45.002
"Hickory King","2017","320","1","16JAN2018",22,61,199,1.138,0.451,0.306,0.345,0.349,2185.38141182609,24.2625217391304,27.6086956521739,0.196640173913043,0.154608695652174,1.63578208695652,1868.45882008696,207.570900181474,460.165187357278,195.289078291115,1342.03670246919,108.408005669974,46.279
"Hp301","2017","314","2","09FEB2018",15,31,130,1.005,0.374,0.282,0.333,0.385,616.351717565217,16.3333043478261,16.421652173913,0.197600956521739,0.159269043478261,1.05487304347826,695.47834973913,68.0814541776938,182.039943255198,65.8202232589792,379.193044405248,29.6663357909845,48.048
"Hp301","2017","314","1","16JAN2018",18,43,151,0.838,0.489,0.298,0.301,0.401,1177.02409513043,19.4806956521739,16.3222608695652,0.196883130434783,0.154608695652174,1.10434782608696,1096.5036766087,119.680228960302,244.514664332703,71.3818927258979,724.61486871358,55.8613240682822,48.446
"Hp301","2017","354","2","10JAN2018",11,36,152,0.652,0.361,0.31,0.317,0.373,837.016404173913,23.8428695652174,15.5492173913043,0.188744086956522,0.148159304347826,1.03502791304348,860.767281565218,84.5613285293006,234.206251508507,27.3351486956522,492.415151761421,36.7697450326512,46.924
"Ki11","2017","290","1","06FEB2018",19,63,248,0.932,0.466,0.324,0.337,0.338,3349.96248869565,36.8079130434783,34.3231304347826,0.213625043478261,0.172499130434783,1.70126991304348,2632.04325,349.085953451796,749.775560022684,341.144387531191,2238.56381605202,192.95201215341,45.364
"Ki11","2017","290","2","02MAR2018",21,47,202,0.914,0.614,0.333,0.337,0.331,3308.13998617391,34.0580869565217,31.1426086956522,0.330807391304348,0.225242782608696,4.06075321739131,2146.60561721739,461.61661441966,752.297903901701,323.111128884688,3466.54033564136,615.404567806028,44.833
"Ki11","2017","359","1","01MAR2018",13,35,140,1.257,0.561,0.334,0.358,0.308,1992.97291104348,26.250347826087,32.9979130434783,0.411634608695652,0.268698869565217,3.82205947826087,1240.07203034783,331.481622540643,591.065712189036,171.194730480151,2604.50466353346,562.324867849149,43.943
"Ki3","2017","357","1","12FEB2018",11,49,143,0.726,0.539,0.315,0.356,0.329,1434.31664191304,26.0184347826087,18.884347826087,0.282944956521739,0.188710956521739,2.10430165217391,1095.42065373913,175.050689595463,324.753969674858,82.4412034933837,1278.89978989943,182.36633097605,45.459
"Ki3","2017","357","2","12MAR2018",13,49,154,0.821,0.567,0.33,0.356,0.314,1870.09806982609,26.9460869565217,22.1200869565217,0.295821652173913,0.209538956521739,2.54700156521739,1384.06752373913,244.623085361059,431.621857652174,183.861940952741,1746.05023190011,241.462401880038,44.245
"Ki3","2017","334","2","09MAR2018",14,46,195,0.817,0.47,0.33,0.344,0.326,2067.82401643478,30.9769565217391,25.3226956521739,0.273966608695652,0.197556782608696,2.12034782608696,1548.06027147826,254.350366351607,541.256799062382,249.432271425331,1785.65596889679,224.972699935056,44.712
"Ki3","2017","334","1","10JAN2018",19,54,238,0.814,0.459,0.349,0.323,0.328,1809.15305582609,25.8417391304348,21.0267826086957,0.179832,0.134354956521739,1.76819339130435,1650.63005452174,161.951868302457,353.075883882798,158.30189694518,1014.9238367255,76.2600733532362,44.151
"Ky21","2017","372","1","29DEC2017",15,35,85,1.226,0.566,0.356,0.328,0.316,1073.94595869565,14.5000869565217,17.78,0.216441130434783,0.176695652173913,1.112266,771.385355217391,104.652147546314,184.909563712665,33.1530527863894,724.819069293043,60.3802662390696,43.505
"Ky21","2017","372","2","22FEB2018",12,44,89,1.951,0.364,0.371,0.33,0.299,803.640406608696,14.3454782608696,27.9841739130435,0.234165913043478,0.176695652173913,1.36742556521739,691.650050695652,90.7977938903592,249.445808809074,44.4178634782609,588.271600453043,56.5857125555801,42.484
"Ky21","2017","283","1","31JAN2018",15,44,177,1.13,0.297,0.301,0.298,0.401,623.265244173913,16.7087826086957,18.8733043478261,0.150555739130435,0.112621391304348,0.968303217391304,770.944510608696,54.4296734442344,183.073967652174,54.3523518109641,291.428681608817,18.1295316272412,48.282
"L163","2017","371","2","08FEB2018",9,40,102,0.641,0.452,0.301,0.338,0.362,1170.05679782609,26.9792173913043,17.2940869565217,0.216176086956522,0.168214260869565,1.61234782608696,936.441059826087,122.532958177694,271.231057024575,114.645297875236,792.38647205662,72.2289776738051,46.724
"L163","2017","371","1","01FEB2018",8,23,39,0.463,0.53,0.27,0.332,0.397,719.341130695652,24.8367826086957,11.4962608695652,0.260703391304348,0.203630695652174,1.69033686956522,563.021767130435,91.6845535047259,172.906965606805,71.4926309640832,587.888664942314,64.1567282106243,48.983
"L163","2017","318","1","12FEB2018",10,35,120,0.578,0.59,0.32,0.339,0.341,1347.12082730435,27.6086956521739,15.9578260869565,0.280250347826087,0.220869565217391,1.45253765217391,968.093479652174,168.124183538752,285.048457281664,108.632626200378,1185.93575008241,135.525454440825,45.604
"LH211","2017","362","2","01FEB2018",5,29,72,0.764,0.424,0.31,0.378,0.311,996.878173217391,32.3353043478261,24.7042608695652,0.295081739130435,0.209538956521739,1.9235972173913,838.837683565217,147.387960604915,347.841428835539,143.021849451796,931.895444699803,137.843404980336,44.872
"LH211","2017","324","1","17JAN2018",4,51,147,0.604,0.336,0.289,0.352,0.358,1764.29555147826,45.9519130434783,27.7412173913043,0.251040347826087,0.178076086956522,1.65945930434783,1464.83251113044,217.184637890359,646.959679308128,204.335587425331,1395.90450741096,168.240864170873,47.17
"LH211","2017","324","2","05FEB2018",9,54,151,0.78,0.371,0.309,0.331,0.36,2141.50495486957,38.9393043478261,30.3695652173913,0.235623652173913,0.172499130434783,2.10985652173913,1809.09963852174,251.280551160681,678.101881795841,247.647653981096,1579.29826709384,176.615080151338,46.554
"LH211","2017","362","1","17JAN2018",14,43,168,0.746,0.398,0.298,0.358,0.344,1748.80764747826,32.5672173913043,24.3066956521739,0.230742434782609,0.172499130434783,2.06557217391304,1573.38327634783,196.444756204159,493.611794041588,185.828032514178,1275.37127692476,147.798697476353,46.382
"LH252","2017","323","2","05FEB2018",4,20,41,0.579,0.232,0.143,0.31,0.547,316.064358869565,27.9731304347826,16.1897391304348,0.305197565217391,0.217534434782609,1.66372208695652,418.778634782609,63.1051850888469,272.033238480151,54.2973485671077,303.416438351592,43.7287493975958,58.128
"LH252","2017","353","2","03JAN2018",3,41,151,0.904,0.17,0.341,0.328,0.331,852.898273217391,35.140347826087,31.7720869565217,0.192222782608696,0.132521739130435,1.28787939130435,982.187829217391,92.106529610586,540.318938873346,84.3669268204159,511.551034704287,47.6136436705992,44.528
"LH252","2017","323","1","05FEB2018",5,60,212,0.631,0.273,0.258,0.346,0.396,1382.01793147826,38.7073913043478,24.4171304347826,0.202184,0.134354956521739,1.70513513043478,1546.73800269565,154.992311516068,567.002402793951,92.0443308204159,875.150984617391,88.8764540608714,49.506
"LH252","2017","353","1","21DEC2017",3,31,109,0.823,0.18,0.321,0.333,0.347,615.982523043478,31.076347826087,25.565652173913,0.226137304347826,0.160793043478261,1.48574539130435,658.987042173913,76.3258428355388,423.282646328922,65.4966675916824,434.701712459584,49.4125050074757,45.577
"M162W","2017","338","2","12MAR2018",15,46,140,0.813,0.484,0.307,0.335,0.358,2004.38412608696,32.3684347826087,26.3166086956522,0.282459043478261,0.221973913043478,2.05408695652174,1569.33724408696,269.078917905482,556.134627712665,262.224855145558,1774.2265972803,210.063684055239,46.382
"M162W","2017","338","1","10JAN2018",22,49,207,0.98,0.424,0.316,0.335,0.349,2082.73318695652,27.2111304347826,26.6589565217391,0.19747947826087,0.160793043478261,1.07887052173913,1920.80607765217,215.546858374291,508.650729754253,77.8941060567108,1279.28377352076,92.575073410954,45.941
"M162W","2017","303","2","07FEB2018",10,36,61,1.138,0.522,0.267,0.372,0.361,713.628549217391,16.6093913043478,18.9064347826087,0.27191252173913,0.200008434782609,1.72278260869565,591.673839565217,90.5822933761815,173.462303236295,85.9575084310019,608.552947048023,71.6403851238035,48.203
"M162W","2017","303","1","07FEB2018",20,46,139,1.461,0.38,0.308,0.335,0.357,1261.676928,19.215652173913,28.0725217391304,0.179832,0.139688956521739,1.45606052173913,1200.65859634783,118.343198888469,311.372387803403,114.829820952741,706.080302575274,50.5056502208367,46.709
"M37W","2017","299","2","29JAN2018",17,44,189,0.685,0.541,0.306,0.336,0.358,1897.60802573913,30.7892173913043,21.082,0.26478947826087,0.188710956521739,2.25286956521739,1579.2642046087,235.829761890359,435.982175780718,225.821854593573,1579.78641417535,195.531100463807,46.562
