Genotype,Plot
CML258,1259
PHR58,1260
LH252,1261
B104,1262
M162W,1263
CML277,1264
Tx303,1265
CML228,1266
Oh43,1267
Mo17,1268
CML322,1269
Tzi8,1270
CML103,1271
W64A,1273
LH123Ht,1276
PHK46,1277
Hp301,1278
NC350,1279
R84,1280
A632,1282
Ms71,1283
LH211,1284
SA24,1285
Ky21,1286
2369,1287
W64A,1288
Ki3,1289
CML373,1290
6M502,1293
Mo18W,1294
PHB47,1296
CML277,1297
Shoe Peg,1298
CML10,1300
PHHB4,1301
B97,1302
Ky21,1303
M37W,1304
L163,1305
CML69,1307
CML341,1308
F118,1309
Ki11,1310
B73,1311
Tzi9,1312
Hickory King,1314
CML247,1315
R78,1316
Oh43,1317
NC262,1318
CML333,1319
A632,1321
Hp301,1322
GT112,1323
GT112,1326
Hickory King,1327
PHT60,1328
Oh7B,1329
Tzi8,1330
CML52,1331
F118,1333
PHR58,1334
R78,1335
SA24,1336
Shoe Peg,1337
6M502,1338
LH252,1339
Ky21,1340
CML373,1341
CML333,1342
Ki11,1344
Hp301,1345
Oh7B,1346
PHB47,1347
M162W,1348
W64A,1349
Hickory King,1350
PHHB4,1351
Tzi8,1352
CML52,1353
GT112,1354
Tzi9,1355
CML103,1356
L163,1357
W64A,1358
CML69,1359
Mo18W,1362
LH252,1364
Hickory King,1367
CML341,1368
R84,1369
M37W,1370
Ky21,1371
PHK46,1372
B97,1373
CML10,1374
Ki3,1375
CML228,1376
B104,1379
CML247,1380
PHT60,1381
CML258,1383
Tzi8,1384
P39,1385
CML277,1386
2369,1389
CML277,1390
B73,1391
A632,1392
Hp301,1393
GT112,1394
A632,1395
Mo17,1396
Tx303,1397
Ms71,1398
Oh43,1399
NC350,1400
LH211,1401
Oh43,1402
LH123Ht,1403
NC262,1404